epoch,grad_norm,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.08602150537634409,0.6838115453720093,0.0,0.8984,1,,,,,,,,,
0.17204301075268819,0.47820767760276794,0.0002,0.6835,2,,,,,,,,,
0.25806451612903225,0.6700648665428162,0.0001995184726672197,0.6232,3,,,,,,,,,
0.34408602150537637,0.3401293158531189,0.00019807852804032305,0.5596,4,,,,,,,,,
0.43010752688172044,0.28545328974723816,0.0001956940335732209,0.503,5,,,,,,,,,
0.5161290322580645,0.23856757581233978,0.0001923879532511287,0.514,6,,,,,,,,,
0.6021505376344086,0.19592300057411194,0.0001881921264348355,0.4044,7,,,,,,,,,
0.6881720430107527,0.25379738211631775,0.00018314696123025454,0.491,8,,,,,,,,,
0.7741935483870968,0.23225970566272736,0.0001773010453362737,0.4746,9,,,,,,,,,
0.8602150537634409,0.1976216584444046,0.00017071067811865476,0.375,10,,,,,,,,,
0.946236559139785,0.1963941901922226,0.00016343932841636456,0.4304,11,,,,,,,,,
0.946236559139785,,,,11,0.4686432480812073,3.1985,19.696,2.501,,,,,
1.086021505376344,0.3943118155002594,0.00015555702330196023,0.7737,12,,,,,,,,,
1.1720430107526882,0.2585693597793579,0.0001471396736825998,0.481,13,,,,,,,,,
1.2580645161290323,0.2140790969133377,0.000138268343236509,0.3921,14,,,,,,,,,
1.3440860215053765,0.22529880702495575,0.00012902846772544624,0.4199,15,,,,,,,,,
1.4301075268817205,0.2428327202796936,0.00011950903220161285,0.4092,16,,,,,,,,,
1.5161290322580645,0.21021315455436707,0.0001098017140329561,0.4726,17,,,,,,,,,
1.6021505376344085,0.19020117819309235,0.0001,0.2749,18,,,,,,,,,
1.6881720430107527,0.18117773532867432,9.019828596704394e-05,0.327,19,,,,,,,,,
1.7741935483870968,0.1758286952972412,8.049096779838719e-05,0.3061,20,,,,,,,,,
1.860215053763441,0.17975516617298126,7.097153227455379e-05,0.3738,21,,,,,,,,,
1.946236559139785,0.24915756285190582,6.173165676349103e-05,0.4174,22,,,,,,,,,
1.946236559139785,,,,22,0.45410263538360596,3.2038,19.664,2.497,,,,,
2.086021505376344,0.35352233052253723,5.286032631740023e-05,0.7388,23,,,,,,,,,
2.172043010752688,0.2068602591753006,4.444297669803981e-05,0.3043,24,,,,,,,,,
2.258064516129032,0.18375644087791443,3.6560671583635467e-05,0.3556,25,,,,,,,,,
2.3440860215053765,0.21024827659130096,2.9289321881345254e-05,0.3453,26,,,,,,,,,
2.4301075268817205,0.16518862545490265,2.26989546637263e-05,0.2922,27,,,,,,,,,
2.5161290322580645,0.19234713912010193,1.6853038769745467e-05,0.402,28,,,,,,,,,
2.6021505376344085,0.19796057045459747,1.1807873565164506e-05,0.3426,29,,,,,,,,,
2.688172043010753,0.1717662364244461,7.612046748871327e-06,0.3712,30,,,,,,,,,
2.774193548387097,0.17045818269252777,4.305966426779118e-06,0.2764,31,,,,,,,,,
2.860215053763441,0.25047197937965393,1.921471959676957e-06,0.413,32,,,,,,,,,
2.946236559139785,0.18235152959823608,4.815273327803182e-07,0.2468,33,,,,,,,,,
2.946236559139785,,,,33,0.45546045899391174,3.1943,19.723,2.504,,,,,
2.946236559139785,,,,33,,,,,1.34244635126784e+16,0.44524835366191284,172.2433,3.24,0.192
