epoch,grad_norm,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.08602150537634409,1.0538690090179443,0.0,1.1266,1,,,,,,,,,
0.17204301075268819,0.9976015686988831,0.0002,1.1448,2,,,,,,,,,
0.25806451612903225,1.0507259368896484,0.0001995184726672197,0.9178,3,,,,,,,,,
0.34408602150537637,0.5533413290977478,0.00019807852804032305,0.7325,4,,,,,,,,,
0.43010752688172044,0.4244939386844635,0.0001956940335732209,0.7394,5,,,,,,,,,
0.5161290322580645,0.2560950219631195,0.0001923879532511287,0.5534,6,,,,,,,,,
0.6021505376344086,0.2428564727306366,0.0001881921264348355,0.5271,7,,,,,,,,,
0.6881720430107527,0.27561861276626587,0.00018314696123025454,0.5593,8,,,,,,,,,
0.7741935483870968,0.27552348375320435,0.0001773010453362737,0.5509,9,,,,,,,,,
0.8602150537634409,0.2601394057273865,0.00017071067811865476,0.501,10,,,,,,,,,
0.946236559139785,0.27344465255737305,0.00016343932841636456,0.5774,11,,,,,,,,,
0.946236559139785,,,,11,0.5392231941223145,3.0834,21.729,2.919,,,,,
1.086021505376344,0.7448956370353699,0.00015555702330196023,1.3177,12,,,,,,,,,
1.1720430107526882,0.23549014329910278,0.0001471396736825998,0.5656,13,,,,,,,,,
1.2580645161290323,0.2892163097858429,0.000138268343236509,0.5107,14,,,,,,,,,
1.3440860215053765,0.24752219021320343,0.00012902846772544624,0.4453,15,,,,,,,,,
1.4301075268817205,0.32575199007987976,0.00011950903220161285,0.5215,16,,,,,,,,,
1.5161290322580645,0.2763570547103882,0.0001098017140329561,0.4941,17,,,,,,,,,
1.6021505376344085,0.29592838883399963,0.0001,0.4013,18,,,,,,,,,
1.6881720430107527,0.24246428906917572,9.019828596704394e-05,0.4539,19,,,,,,,,,
1.7741935483870968,0.28562647104263306,8.049096779838719e-05,0.4174,20,,,,,,,,,
1.860215053763441,0.23024432361125946,7.097153227455379e-05,0.435,21,,,,,,,,,
1.946236559139785,0.2926371991634369,6.173165676349103e-05,0.5162,22,,,,,,,,,
1.946236559139785,,,,22,0.5211571455001831,3.0832,21.731,2.919,,,,,
2.086021505376344,0.585662841796875,5.286032631740023e-05,0.8302,23,,,,,,,,,
2.172043010752688,0.2719424068927765,4.444297669803981e-05,0.3506,24,,,,,,,,,
2.258064516129032,0.2424144148826599,3.6560671583635467e-05,0.452,25,,,,,,,,,
2.3440860215053765,0.2539486289024353,2.9289321881345254e-05,0.4093,26,,,,,,,,,
2.4301075268817205,0.28355786204338074,2.26989546637263e-05,0.3893,27,,,,,,,,,
2.5161290322580645,0.30901604890823364,1.6853038769745467e-05,0.4836,28,,,,,,,,,
2.6021505376344085,0.27916112542152405,1.1807873565164506e-05,0.4705,29,,,,,,,,,
2.688172043010753,0.3230355381965637,7.612046748871327e-06,0.4601,30,,,,,,,,,
2.774193548387097,0.29331478476524353,4.305966426779118e-06,0.3802,31,,,,,,,,,
2.860215053763441,0.2620115280151367,1.921471959676957e-06,0.4531,32,,,,,,,,,
2.946236559139785,0.20786303281784058,4.815273327803182e-07,0.3038,33,,,,,,,,,
2.946236559139785,,,,33,0.522112250328064,3.0788,21.762,2.923,,,,,
2.946236559139785,,,,33,,,,,1.053642035355648e+16,0.5755031433972445,171.2833,3.258,0.193
