year,seed,model,eval_file,results_jsonl,summary_json,total,errors,correct,scorable,answer_predicted_none,strict_accuracy,strict_accuracy_percent,scorable_accuracy,scorable_accuracy_percent,max_tokens,temperature,top_p,disable_reasoning,finish_reason_length,completion_tokens_eq_max,generated_empty,prompt_tokens_total,completion_tokens_total,total_tokens,cost_sum_reported_rows,completion_tokens_mean,completion_tokens_median,completion_tokens_p25,completion_tokens_p75,completion_tokens_p95,prompt_tokens_mean,updated_at
2025,42,qwen/qwen3-8b,/Users/user1/git/Bachelor Thesis/API-requests/SFT on qwen/generated_files/kaggle_qwen3_8b_eval_seed42_flat/test_2025_prompt_answer.jsonl,/Users/user1/git/Bachelor Thesis/API-requests/SFT on qwen/kaggle_outputs/openrouter_qwen3_8b_pretrain_baseline_max4096_2025_2026/condition_seed42_openrouter_qwen3_8b_test_2025_max4096.jsonl,kaggle_outputs/openrouter_qwen3_8b_pretrain_baseline_max4096_2025_2026/condition_seed42_openrouter_qwen3_8b_test_2025_max4096.summary.json,71,0,29,71,0,0.4084507042253521,40.845070422535215,0.4084507042253521,40.845070422535215,4096,0.0,1.0,True,2,2,0,15271,71972,87243,0.030239703999999996,1013.6901408450705,802,395.5,1409.0,2069.5,215.08450704225353,2026-06-17T17:09:53
2025,1337,qwen/qwen3-8b,/Users/user1/git/Bachelor Thesis/API-requests/SFT on qwen/generated_files/kaggle_qwen3_8b_eval_seed42_flat/test_2025_prompt_answer.jsonl,/Users/user1/git/Bachelor Thesis/API-requests/SFT on qwen/kaggle_outputs/openrouter_qwen3_8b_pretrain_baseline_max4096_2025_2026/condition_seed1337_openrouter_qwen3_8b_test_2025_max4096.jsonl,kaggle_outputs/openrouter_qwen3_8b_pretrain_baseline_max4096_2025_2026/condition_seed1337_openrouter_qwen3_8b_test_2025_max4096.summary.json,71,0,33,70,1,0.4647887323943662,46.478873239436616,0.4714285714285714,47.14285714285714,4096,0.0,1.0,True,0,0,0,15271,69734,85005,0.029534673,982.169014084507,796,387.5,1273.5,2175.5,215.08450704225353,2026-06-17T17:17:26
2025,2024,qwen/qwen3-8b,/Users/user1/git/Bachelor Thesis/API-requests/SFT on qwen/generated_files/kaggle_qwen3_8b_eval_seed42_flat/test_2025_prompt_answer.jsonl,/Users/user1/git/Bachelor Thesis/API-requests/SFT on qwen/kaggle_outputs/openrouter_qwen3_8b_pretrain_baseline_max4096_2025_2026/condition_seed2024_openrouter_qwen3_8b_test_2025_max4096.jsonl,kaggle_outputs/openrouter_qwen3_8b_pretrain_baseline_max4096_2025_2026/condition_seed2024_openrouter_qwen3_8b_test_2025_max4096.summary.json,71,0,35,71,0,0.49295774647887325,49.29577464788733,0.49295774647887325,49.29577464788733,4096,0.0,1.0,True,0,0,0,15271,66697,81968,0.028128627000000003,939.3943661971831,757,434.5,1298.5,2021.0,215.08450704225353,2026-06-17T17:24:58
2026,42,qwen/qwen3-8b,/Users/user1/git/Bachelor Thesis/API-requests/SFT on qwen/kaggle_outputs/qwen3_8b_eval_2026/support/test_2026_prompt_answer.jsonl,/Users/user1/git/Bachelor Thesis/API-requests/SFT on qwen/kaggle_outputs/openrouter_qwen3_8b_pretrain_baseline_max4096_2025_2026/condition_seed42_openrouter_qwen3_8b_test_2026_max4096.jsonl,kaggle_outputs/openrouter_qwen3_8b_pretrain_baseline_max4096_2025_2026/condition_seed42_openrouter_qwen3_8b_test_2026_max4096.summary.json,69,0,27,67,2,0.391304347826087,39.130434782608695,0.40298507462686567,40.298507462686565,4096,0.0,1.0,True,2,2,0,14414,77762,92176,0.033060980000000004,1126.9855072463768,833,555,1510,2904.399999999998,208.8985507246377,2026-06-17T17:32:38
2026,1337,qwen/qwen3-8b,/Users/user1/git/Bachelor Thesis/API-requests/SFT on qwen/kaggle_outputs/qwen3_8b_eval_2026/support/test_2026_prompt_answer.jsonl,/Users/user1/git/Bachelor Thesis/API-requests/SFT on qwen/kaggle_outputs/openrouter_qwen3_8b_pretrain_baseline_max4096_2025_2026/condition_seed1337_openrouter_qwen3_8b_test_2026_max4096.jsonl,kaggle_outputs/openrouter_qwen3_8b_pretrain_baseline_max4096_2025_2026/condition_seed1337_openrouter_qwen3_8b_test_2026_max4096.summary.json,69,0,34,69,0,0.4927536231884058,49.275362318840585,0.4927536231884058,49.275362318840585,4096,0.0,1.0,True,1,1,0,14414,68892,83306,0.029170955000000002,998.4347826086956,851,553,1281,2473.599999999999,208.8985507246377,2026-06-17T17:40:22
2026,2024,qwen/qwen3-8b,/Users/user1/git/Bachelor Thesis/API-requests/SFT on qwen/kaggle_outputs/qwen3_8b_eval_2026/support/test_2026_prompt_answer.jsonl,/Users/user1/git/Bachelor Thesis/API-requests/SFT on qwen/kaggle_outputs/openrouter_qwen3_8b_pretrain_baseline_max4096_2025_2026/condition_seed2024_openrouter_qwen3_8b_test_2026_max4096.jsonl,kaggle_outputs/openrouter_qwen3_8b_pretrain_baseline_max4096_2025_2026/condition_seed2024_openrouter_qwen3_8b_test_2026_max4096.summary.json,69,0,28,68,1,0.4057971014492754,40.57971014492754,0.4117647058823529,41.17647058823529,4096,0.0,1.0,True,2,2,0,14414,78059,92473,0.032660375000000005,1131.2898550724638,914,590,1384,3111.399999999995,208.8985507246377,2026-06-17T17:49:36
