year,runs,seeds,total_per_run,correct_values,strict_accuracy_mean_percent,strict_accuracy_sd_percent,strict_accuracy_min_percent,strict_accuracy_max_percent,scorable_accuracy_mean_percent,scorable_accuracy_sd_percent,answer_predicted_none_total,errors_total,finish_reason_length_total,completion_tokens_eq_max_total,estimated_cost_sum_reported_rows
2025,3,"42,1337,2024",71,"29,33,35",45.539906103286384,4.302887976484356,40.845070422535215,49.29577464788733,45.76123407109323,4.391498856930145,1,0,2,2,0.087903004
2026,3,"42,1337,2024",69,"27,34,28",42.99516908212561,5.486867966956789,39.130434782608695,49.275362318840585,43.583446789920814,4.948851543916462,3,0,5,5,0.09489231000000001
