run_label,checkpoint,global_step,epoch
condition_3a_seed2024,checkpoint-11,11,0.946236559139785
condition_3a_seed2024,checkpoint-22,22,1.946236559139785
condition_3a_seed2024,checkpoint-33,33,2.946236559139785
